,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage
64,20526,640.0,HYUNDAI,Tucson,2013,Jeep,Yes,Diesel,2.0,200279
65,9722,765.0,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2.0,719847
66,34657,777.0,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,154672
67,36564,1091.0,HYUNDAI,H1,2016,Minivan,Yes,Diesel,2.5,110969
68,314,779.0,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,225510
69,5488,0.0,TOYOTA,Vitz,2001,Hatchback,No,Petrol,1.5,210000
70,30063,934.0,HYUNDAI,H1,2015,Universal,Yes,Diesel,2.5,148105
71,15800,769.0,CHEVROLET,Captiva,2011,Jeep,Yes,Diesel,2.2,255456
72,43952,1249.0,HYUNDAI,H1,2017,Universal,Yes,Diesel,2.5,111643
73,53154,891.0,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2.0,84506
74,14740,645.0,TOYOTA,Prius,2011,Hatchback,No,Hybrid,1.8,288000
75,42337,0.0,FORD,Mustang,2016,Cabriolet,Yes,Petrol,2.3,75000
76,3763,1053.0,MERCEDES-BENZ,ML 350,2014,Jeep,Yes,Petrol,3.5,94362
77,18189,0.0,TOYOTA,Prius,2012,Sedan,No,Petrol,1.8,175000
78,862,2455.0,LEXUS,GX 470,2008,Jeep,Yes,Petrol,4.7,263190
79,220,1185.0,FORD,Escape,2009,Jeep,Yes,Hybrid,2.5,193614
80,5645,1324.0,TOYOTA,Highlander,2010,Jeep,Yes,Hybrid,3.3,264877
81,7527,830.0,TOYOTA,Yaris,2019,Sedan,Yes,Petrol,1.5,27656
82,21953,1187.0,HONDA,Civic,2014,Sedan,No,Hybrid,1.4,16000
83,8154,0.0,HONDA,Cr-v,1998,Jeep,No,Petrol,2.0,0
84,21953,781.0,TOYOTA,Camry,2012,Sedan,No,Petrol,2.5,195053
85,19121,531.0,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,121362
86,36065,639.0,HYUNDAI,Santa FE,2014,Jeep,Yes,Diesel,2.0,69191
87,8781,1111.0,HONDA,FIT,2012,Hatchback,Yes,Hybrid,1.3,83000
88,6247,760.0,CHEVROLET,Cruze,2010,Sedan,Yes,Petrol,1.8,40772
89,16289,642.0,CHEVROLET,Orlando,2012,Jeep,Yes,Diesel,2.0,172000
90,77775,1604.0,MERCEDES-BENZ,GL 63 AMG,2014,Jeep,Yes,Petrol,5.5,433811
91,2822,0.0,BMW,520 Vanos,1995,Sedan,Yes,Petrol,2.0,350000
92,549,781.0,SUBARU,Forester,2012,Jeep,Yes,Petrol,2.5,148213
93,6981,1095.0,DAEWOO,Lacetti,2008,Sedan,Yes,Petrol,2.0,103246
94,27284,891.0,HYUNDAI,Elantra,2016,Sedan,No,Petrol,2.0,105394
95,32929,0.0,BMW,428 Sport Line,2013,Coupe,Yes,Petrol,2.0,160000
96,18817,0.0,NISSAN,Patrol,1990,Jeep,No,Diesel,2.8,333333
97,4234,0.0,HONDA,Civic,1997,Hatchback,Yes,Petrol,1.4,0
98,15053,0.0,MERCEDES-BENZ,E 320,2004,Sedan,Yes,Petrol,3.2,214000
99,15458,966.0,HYUNDAI,Genesis,2009,Coupe,Yes,Petrol,2.0,123346
100,2901,473.0,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.4,80827
101,706,1138.0,PORSCHE,911,2013,Coupe,Yes,Petrol,3.8,64464
102,314,382.0,FORD,Fusion,2015,Sedan,Yes,Hybrid,2.0,91760
103,15681,1811.0,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,275240
104,26657,0.0,MERCEDES-BENZ,Sprinter,2004,Microbus,No,Diesel,2.2,300000
105,10663,988.0,TOYOTA,Prius,2007,Hatchback,No,Petrol,1.5,318400
106,12858,765.0,FORD,Focus SE,2015,Sedan,No,Petrol,2.0,91200
107,1019,917.0,BMW,X5,2013,Jeep,Yes,Diesel,3.0,137802
108,549,917.0,BMW,535,2013,Sedan,Yes,Hybrid,3.0,151586
109,12858,0.0,KIA,Picanto,2016,Hatchback,No,Petrol,1.2,107000
110,15000,0.0,BMW,328,2008,Sedan,Yes,CNG,3.0,210408
111,85553,1156.0,FORD,Explorer,2017,Jeep,Yes,Petrol,2.3,100567
112,44752,1091.0,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,86000
113,17158,687.0,HYUNDAI,Elantra,2010,Sedan,Yes,Petrol,1.6,122740
114,12231,0.0,MITSUBISHI,Airtrek,2005,Jeep,No,LPG,2.4,144000
115,11917,11714.0,MERCEDES-BENZ,E 500 AMG,2003,Sedan,Yes,Petrol,5.0,150000
116,1254,0.0,MITSUBISHI,Lancer,1997,Sedan,No,Petrol,1.3,100000
117,94,0.0,HONDA,FIT,2003,Hatchback,No,Petrol,1.5,178000
118,25591,640.0,SSANGYONG,Korando,2013,Jeep,Yes,Diesel,2.0,85704
119,14897,836.0,HYUNDAI,Santa FE,2010,Jeep,Yes,Diesel,2.0,58962
120,23521,779.0,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,90000
121,3450,0.0,RENAULT,Clio,1995,Hatchback,No,Petrol,1.2,50000
122,706,777.0,MAZDA,616,2014,Sedan,Yes,Petrol,2.5,0
123,1019,1537.0,TOYOTA,Highlander,2009,Sedan,Yes,Hybrid,3.3,318358
124,16935,765.0,FORD,Fusion,2015,Sedan,Yes,Petrol,2.0,71454
125,19444,781.0,TOYOTA,Camry,2012,Sedan,Yes,Petrol,2.5,0
126,11604,639.0,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2.0,346470
127,51965,891.0,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2.0,59515
128,706,394.0,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,115312
129,9408,0.0,MERCEDES-BENZ,C 220,1999,Sedan,No,Diesel,2.2,111111
130,13328,1347.0,HYUNDAI,H1,2008,Minivan,Yes,Diesel,2.5,74444
131,17876,0.0,NISSAN,Serena,2012,Minivan,No,Petrol,2.0,143000
132,549,2866.0,NISSAN,Maxima,2004,Sedan,Yes,Petrol,3.5,299709
133,20071,0.0,TOYOTA,RAV 4,2008,Jeep,No,Petrol,2.4,135000
134,22894,862.0,HYUNDAI,H1,2011,Minivan,Yes,Diesel,2.5,124444
135,2901,503.0,HONDA,Civic,2012,Sedan,Yes,Hybrid,1.5,146403
136,15681,0.0,MITSUBISHI,Pajero,1997,Jeep,No,Petrol,2.4,142000
137,39829,1811.0,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,155821
138,706,1646.0,LEXUS,GX 460,2015,Jeep,Yes,Petrol,4.6,102907
139,18660,0.0,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,130000
140,22580,1017.0,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2.0,50930
141,11604,639.0,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2.0,264872
142,314,259.0,CHEVROLET,Volt,2014,Hatchback,Yes,Hybrid,1.4,131893
143,5488,751.0,GMC,TERRAIN,2013,Jeep,Yes,Petrol,2.4,138958
144,4300,0.0,MERCEDES-BENZ,208,1985,Universal,No,Diesel,2.5,1111111
145,18817,609.0,TOYOTA,Camry,2018,Sedan,Yes,Hybrid,2.5,35058
146,21169,697.0,HONDA,Hr-v EX,2015,Jeep,No,Petrol,1.8,33330
147,9095,0.0,FIAT,500,2011,Coupe,No,Petrol,1.2,141000
148,1568,639.0,VOLKSWAGEN,Jetta,2014,Sedan,Yes,Diesel,2.0,82392
149,3136,0.0,SUBARU,Legacy,2005,Goods wagon,No,Petrol,2.0,180000
150,17876,585.0,HYUNDAI,Elantra sport limited,2013,Sedan,Yes,Petrol,1.8,117920
151,11290,891.0,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2.0,279787
152,36065,1399.0,TOYOTA,Sienna,2010,Minivan,Yes,Petrol,3.5,227200
153,862,394.0,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,130478
154,21395,781.0,HYUNDAI,H1,2012,Universal,Yes,Diesel,2.5,166144
155,15681,891.0,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2.0,258706
156,627,475.0,CHEVROLET,Volt,2012,Jeep,Yes,Hybrid,1.4,188419
157,40070,690.0,TOYOTA,Aqua,2016,Hatchback,Yes,Petrol,1.5,25807
158,11917,0.0,MERCEDES-BENZ,A 170,2008,Hatchback,No,Petrol,1.7,180000
159,72130,1079.0,LEXUS,NX 300,2018,Jeep,Yes,Petrol,2.0,18918
160,35927,640.0,SSANGYONG,REXTON,2013,Jeep,Yes,Diesel,2.0,137267
161,21012,308.0,TOYOTA,Prius,2014,Sedan,No,Hybrid,1.8,160000
162,21012,1823.0,TOYOTA,Tacoma,2018,Sedan,Yes,Petrol,3.5,27358
163,13172,1361.0,KIA,Carnival grand,2009,Minivan,Yes,Diesel,2.9,84176
164,15624,707.0,HYUNDAI,Genesis,2011,Coupe,Yes,Petrol,2.0,107005
165,4547,0.0,OPEL,Vectra,1997,Sedan,No,Petrol,1.6,15000
166,5488,1273.0,INFINITI,QX60,2015,Jeep,Yes,Petrol,3.5,124154
167,20005,531.0,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,104997
168,36110,924.0,VOLKSWAGEN,Passat,2017,Sedan,Yes,Petrol,1.8,27728
169,7840,0.0,MERCEDES-BENZ,E 240 E 240,1998,Sedan,Yes,Petrol,2.4,777777
170,470,1077.0,MAZDA,1000,2019,Jeep,Yes,Petrol,2.0,11566
171,1300,0.0,AUDI,50,2018,Coupe,Yes,Petrol,0.5,4000
172,43880,891.0,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2.0,113700
173,29479,584.0,MERCEDES-BENZ,C 250,2014,Sedan,Yes,Petrol,1.8,69000
174,17249,0.0,TOYOTA,Camry,2011,Sedan,Yes,Hybrid,2.5,152000
175,9408,0.0,TOYOTA,Vitz funkargo,2003,Universal,No,Petrol,1.5,181926
176,44213,891.0,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2.0,50255
177,8467,2078.0,BMW,325,2001,Sedan,Yes,Petrol,2.5,252800
178,627,915.0,AUDI,A6,2014,Sedan,Yes,Petrol,3.0,164488
179,21950,831.0,FORD,Transit,2011,Goods wagon,No,Diesel,2.4,125000
180,706,475.0,FIAT,500,2012,Hatchback,Yes,Petrol,1.4,164574
181,3136,473.0,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.4,156992
182,3450,0.0,OPEL,Vectra,1995,Sedan,No,CNG,2.0,0
183,9408,0.0,MITSUBISHI,Pajero,1998,Jeep,No,Petrol,3.5,11000
184,31500,0.0,NISSAN,Pathfinder,2010,Jeep,Yes,LPG,4.0,90200
185,20385,0.0,MITSUBISHI,Delica,2005,Minivan,Yes,Petrol,3.0,184000
186,314,1053.0,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,149486
187,2300,0.0,VOLKSWAGEN,Golf,1996,Sedan,No,CNG,2.0,0
188,7840,0.0,MERCEDES-BENZ,Vaneo,2004,Universal,No,LPG,1.9,170000
189,56450,0.0,TOYOTA,Camry Se,2018,Sedan,Yes,Petrol,2.5,25000
190,1490,639.0,VOLKSWAGEN,Jetta,2014,Universal,Yes,Diesel,2.0,113214
191,627,836.0,TOYOTA,Tacoma,2012,Sedan,Yes,Petrol,2.7,394069
192,314,1053.0,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,149486
193,13172,0.0,HONDA,Cr-v,2002,Jeep,No,Petrol,2.4,260000
194,19757,0.0,NISSAN,Patrol Y60,1990,Jeep,No,Diesel,2.8,222222
195,4704,917.0,AUDI,A7,2013,Hatchback,Yes,Petrol,3.0,301707
196,706,751.0,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,175827
197,5802,1055.0,MERCEDES-BENZ,E 350,2013,Sedan,Yes,Diesel,3.5,107800
198,25716,777.0,TOYOTA,Camry,2014,Sedan,No,Petrol,2.5,115200
199,14426,642.0,CHEVROLET,Orlando,2012,Jeep,Yes,LPG,2.0,132036
200,10820,0.0,TOYOTA,RAV 4,2001,Jeep,No,Petrol,2.0,91000
201,45436,1172.0,FORD,Explorer,2011,Jeep,Yes,Petrol,3.5,129177
202,11917,893.0,HYUNDAI,I30,2008,Hatchback,No,Diesel,1.6,201000
203,41281,765.0,HYUNDAI,Santa FE,2015,Jeep,Yes,Diesel,2.0,185811
204,4391,0.0,NISSAN,Altima,1998,Sedan,No,Petrol,2.4,358400
205,3058,1872.0,PORSCHE,Cayenne,2018,Sedan,Yes,Petrol,3.6,28968
206,3700,0.0,ALFA ROMEO,147,2001,Coupe,Yes,Petrol,1.8,240000
207,15681,0.0,SUZUKI,Grand Vitara,2008,Jeep,No,Petrol,1.6,98000
208,6586,645.0,LEXUS,CT 200h,2011,Hatchback,Yes,Hybrid,1.8,122302
209,12544,0.0,TOYOTA,Prius,2007,Hatchback,No,Hybrid,1.5,140000
210,30063,639.0,HYUNDAI,Tucson,2014,Jeep,Yes,Diesel,2.0,120000
211,72130,1885.0,PORSCHE,Panamera,2010,Hatchback,Yes,Petrol,4.8,196800
212,21639,0.0,HYUNDAI,Veloster,2015,Hatchback,No,Petrol,1.6,17200
213,36692,0.0,TOYOTA,RAV 4 XLE Sport,2013,Jeep,No,Petrol,2.5,120000
214,30,0.0,HONDA,FIT,2002,Hatchback,No,Petrol,1.5,0
215,12231,1266.0,TOYOTA,Aqua,2014,Hatchback,No,Hybrid,1.5,66000
216,3136,0.0,TOYOTA,Sienta,2004,Sedan,No,Petrol,1.5,300000
217,10663,0.0,TOYOTA,Prius,2009,Sedan,Yes,Hybrid,1.8,230000
218,5620,447.0,HONDA,FIT,2013,Hatchback,Yes,Petrol,1.3,110467
219,19130,2148.0,MERCEDES-BENZ,CLS 550,2010,Sedan,Yes,Petrol,5.5,157000
220,9408,1111.0,HONDA,FIT,2012,Hatchback,No,Hybrid,1.3,64000
221,3,0.0,HYUNDAI,Elantra,2011,Sedan,Yes,Petrol,1.8,80000
222,15367,640.0,VOLKSWAGEN,Passat,2013,Sedan,Yes,Diesel,2.0,179200
223,5959,1730.0,CHEVROLET,Avalanche,2011,Sedan,Yes,Petrol,5.3,246976
224,26594,777.0,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,179918
225,36065,779.0,TOYOTA,Avalon LIMITED,2013,Sedan,Yes,Hybrid,2.5,92200
226,26343,730.0,KIA,Cerato K3,2016,Sedan,Yes,Diesel,1.6,29000
227,549,862.0,MAZDA,CX-7,2011,Sedan,Yes,Petrol,2.5,216550
228,6000,0.0,JEEP,Grand Cherokee,1993,Jeep,No,Petrol,4.0,240000
229,40142,1811.0,LEXUS,GX 470,2010,Jeep,Yes,Petrol,4.6,357246
230,14000,585.0,HYUNDAI,Elantra,2013,Sedan,No,Petrol,1.8,50000
231,17923,473.0,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.4,127842
232,54518,831.0,HYUNDAI,Tucson,2017,Jeep,Yes,Petrol,1.6,40193
233,10349,0.0,OPEL,Astra G,2003,Hatchback,No,Petrol,1.6,180000
234,8154,0.0,TOYOTA,Ist,2002,Hatchback,No,Petrol,1.3,115000
235,282,289.0,FORD,Escape,2008,Jeep,Yes,Hybrid,0.4,220474
236,7527,640.0,VOLKSWAGEN,Passat,2013,Sedan,Yes,Diesel,2.0,132310
237,3450,1249.0,TOYOTA,Camry,2017,Sedan,Yes,Petrol,2.5,60762
238,22063,836.0,HYUNDAI,Tucson,2010,Jeep,Yes,Diesel,2.0,142264
239,2901,503.0,HONDA,Civic,2012,Sedan,Yes,Hybrid,1.5,146403
240,4704,585.0,TOYOTA,Corolla,2013,Sedan,Yes,Petrol,1.8,227371
241,5331,0.0,VOLKSWAGEN,Passat,2002,Sedan,Yes,Petrol,2.8,175000
242,941,642.0,VOLKSWAGEN,Jetta,2012,Sedan,Yes,Diesel,2.0,203440
243,16900,502.0,HONDA,FIT,2013,Hatchback,Yes,Petrol,1.5,70000
244,18189,0.0,NISSAN,Rogue,2010,Jeep,Yes,Petrol,2.5,122000
245,5331,0.0,MAZDA,MPV,2000,Minivan,No,Petrol,2.5,127000
246,42651,1017.0,MERCEDES-BENZ,GLA 250,2017,Jeep,Yes,Petrol,2.0,44995
247,15524,586.0,TOYOTA,Prius,2012,Hatchback,No,Hybrid,1.8,122324
248,17249,0.0,BMW,530,2007,Sedan,Yes,Petrol,3.0,111111
249,73071,0.0,LEXUS,GS 350,2013,Sedan,Yes,Petrol,3.5,56000
250,862,333.0,FORD,Fusion,2014,Sedan,Yes,Hybrid,2.0,186048
251,28909,831.0,HYUNDAI,Elantra,2017,Sedan,Yes,Diesel,1.6,98000
252,8467,642.0,HYUNDAI,Sonata,2012,Sedan,Yes,LPG,2.0,573249
253,50,0.0,TOYOTA,Aqua,2013,Sedan,No,Hybrid,1.5,130000
254,14426,639.0,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2.0,169024
255,9000,1325.0,VOLKSWAGEN,Sharan,2011,Minivan,No,Petrol,1.4,126000
256,30734,1053.0,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,200179
257,22580,779.0,TOYOTA,Camry,2013,Sedan,Yes,Petrol,2.5,156666
258,862,259.0,CHEVROLET,Volt,2014,Jeep,Yes,Hybrid,1.4,133195
259,7464,247.0,HONDA,FIT,2014,Hatchback,Yes,Hybrid,1.3,114950
260,1333,1091.0,FORD,Fusion,2016,Sedan,Yes,Petrol,2.5,154850
261,59865,879.0,HYUNDAI,Tucson,2019,Jeep,Yes,Diesel,1.6,13000
262,49237,1342.0,TOYOTA,Tacoma,2017,Jeep,Yes,Petrol,2.7,94262
263,68223,1327.0,HYUNDAI,H1,2018,Universal,Yes,Diesel,2.5,27406
264,392,1017.0,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2.0,1600
265,7683,0.0,NISSAN,Tiida,2006,Sedan,Yes,CNG,1.8,200000
266,22266,0.0,FORD,Fusion,2013,Sedan,Yes,Petrol,1.6,85500
267,2430,1598.0,MERCEDES-BENZ,E 350,2008,Sedan,Yes,Diesel,3.0,175614
268,282,333.0,FORD,Fusion,2014,Sedan,Yes,Hybrid,2.0,0
269,392,629.0,NISSAN,Juke,2015,Jeep,Yes,Petrol,1.6,85944
270,33556,765.0,MERCEDES-BENZ,C 300,2015,Sedan,Yes,Petrol,2.0,0
271,39161,831.0,SSANGYONG,Actyon,2017,Jeep,Yes,Diesel,1.6,73000
272,16308,0.0,FORD,Transit,2008,Microbus,No,Diesel,2.2,180000
273,17719,0.0,TOYOTA,Camry,2009,Sedan,Yes,Hybrid,2.4,92000
274,43278,1514.0,LEXUS,GX 460,2011,Jeep,Yes,Petrol,4.6,160138
275,470,1058.0,HYUNDAI,Santa FE,2012,Jeep,Yes,Petrol,3.5,197923
276,20385,738.0,CHEVROLET,Cruze,2017,Sedan,No,Petrol,1.4,42000
277,941,1935.0,TOYOTA,Tundra,2016,Jeep,Yes,Petrol,4.6,254805
278,49858,1077.0,HYUNDAI,Tucson,2019,Jeep,Yes,Diesel,2.0,48000
279,8781,0.0,NISSAN,Elgrand,1998,Minivan,Yes,Diesel,3.2,230000
280,220,1055.0,MERCEDES-BENZ,C 350,2013,Sedan,Yes,Petrol,3.5,159250
281,9722,765.0,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2.0,582376
282,21326,0.0,MERCEDES-BENZ,CLS 500,2006,Sedan,Yes,Petrol,5.0,2000
283,51075,1017.0,HYUNDAI,Tucson,2017,Jeep,Yes,Diesel,2.0,40800
284,15241,707.0,HYUNDAI,Genesis,2011,Coupe,Yes,Petrol,2.0,117492
285,2587,382.0,FORD,Fusion,2015,Sedan,Yes,Hybrid,2.0,88795
286,15524,1347.0,HYUNDAI,H1,2008,Minivan,Yes,Diesel,2.5,56769
287,27911,0.0,MERCEDES-BENZ,C 250,2014,Sedan,Yes,Petrol,1.8,70000
288,4861,779.0,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,136861
289,29793,0.0,MERCEDES-BENZ,S 350,2005,Sedan,Yes,Petrol,3.5,263000
290,18208,531.0,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,95665
291,549,481.0,HYUNDAI,Sonata,2017,Sedan,Yes,Hybrid,2.0,107387
292,30,0.0,NISSAN,Tiida,2006,Hatchback,No,Petrol,1.5,0
293,34497,779.0,TOYOTA,RAV 4 Le,2013,Jeep,No,Petrol,2.5,65350
294,6272,1522.0,OPEL,Zafira,2000,Goods wagon,No,Petrol,1.8,130000
295,4924,1282.0,CHEVROLET,Captiva,2007,Jeep,Yes,Diesel,2.0,183923
296,4704,0.0,OPEL,Vectra b,2000,Hatchback,No,Diesel,2.0,11111
297,43576,1091.0,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,97129
298,7840,0.0,MERCEDES-BENZ,C 200,2001,Sedan,Yes,CNG,2.0,140000
299,28225,1079.0,TOYOTA,CHR,2018,Jeep,No,Petrol,2.0,24000
300,700,0.0,OPEL,Astra,1992,Sedan,No,Petrol,1.1,0
301,2352,0.0,MAZDA,323,1998,Hatchback,No,Petrol,1.5,300000
302,18817,738.0,CHEVROLET,Cruze,2017,Hatchback,Yes,Petrol,1.4,29094
303,4861,382.0,FORD,Fusion,2015,Sedan,Yes,Hybrid,2.0,148709
304,13172,1399.0,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,186005
305,37320,1055.0,MERCEDES-BENZ,E 350 ამგ,2013,Sedan,Yes,Petrol,3.5,156800
306,706,1017.0,FORD,Escape,2017,Jeep,Yes,Petrol,2.0,251430
307,39201,456.0,TOYOTA,Camry,2015,Sedan,Yes,Hybrid,2.5,35000
308,36426,880.0,HYUNDAI,Elantra,2018,Sedan,Yes,LPG,1.6,35643
